market_id,classifier_label,tag_slug,question,z1,z2,label_class_index,label_class
1005343,Crypto,crypto,Puffpaw FDV above $50M one day after launch?,-0.02414475369627137,0.005847128288905218,1,Crypto
1005344,Crypto,crypto,Puffpaw FDV above $100M one day after launch?,-0.024109711429620446,0.0058129336444123336,1,Crypto
1032272,Finance,finance,"Will Gold (GC) hit (HIGH) $5,500 by end of June?",-0.024000727767103845,0.005780129753079174,2,Finance
1057883,Crypto,crypto,"Will Bitcoin reach $250,000 by December 31, 2026?",-0.024000621755230628,0.005742667358116775,1,Crypto
1057916,Crypto,crypto,"Will Bitcoin dip to $15,000 by December 31, 2026?",-0.024005451082042314,0.005746207402370622,1,Crypto
1090199,Geopolitics,geopolitics,Will Reza Pahlavi enter Iran by June 30?,-0.024003223334958187,0.005738952497273797,3,Geopolitics
1105750,Geopolitics,geopolitics,Will Pete Hegseth be the leader of Venezuela end of 2026?,-0.023993676854361348,0.005736947660375599,3,Geopolitics
1105751,Geopolitics,geopolitics,Will Evan Pettus be the leader of Venezuela end of 2026?,-0.023993307515899506,0.005736750719390874,3,Geopolitics
1105752,Geopolitics,geopolitics,Will Frank Donovan be the leader of Venezuela end of 2026?,-0.02399349123204957,0.005736736064879193,3,Geopolitics
1105753,Geopolitics,geopolitics,Will Dan Caine be the leader of Venezuela end of 2026?,-0.02399295700824747,0.005736370994518072,3,Geopolitics
1105754,Geopolitics,geopolitics,Will Richard Grenell be the leader of Venezuela end of 2026?,-0.023993652048435607,0.0057367106312136255,3,Geopolitics
1126504,Geopolitics,geopolitics,Will the US acquire part of Greenland in 2026?,-0.024023765744057048,0.005765172198837041,3,Geopolitics
1131170,Tech,tech,Human moon landing in 2026?,-0.02400498005033761,0.005742250451830073,7,Tech
1144471,Crypto,crypto,Will Satoshi move any Bitcoin in 2026?,-0.024016202919768474,0.005750488791785786,1,Crypto
1171663,Geopolitics,geopolitics,"Russia x Ukraine ceasefire by June 30, 2026?",-0.024011699622924033,0.005754822945302375,3,Geopolitics
1203147,Business,business,Will Elon Musk buy Ryanair?,-0.023997138102930842,0.005735651757322774,0,Business
1298649,Business,business,OpenAI IPO closing market cap above $1T?,-0.02408576077473827,0.005838108950410749,0,Business
1302781,Crypto,crypto,Puffpaw FDV above $400M one day after launch?,-0.02402275578044777,0.005749124736215412,1,Crypto
1339767,Crypto,crypto,"Will Bitcoin dip to $50,000 by December 31, 2026?",-0.024086167918296153,0.00578942726802665,1,Crypto
1393068,Crypto,crypto,"Will Bitcoin reach $500,000 by December 31, 2026?",-0.02399725236769594,0.005740010100322955,1,Crypto
1393070,Crypto,crypto,"Will Bitcoin reach $1,000,000 by December 31, 2026?",-0.023997569092304525,0.005739620283574439,1,Crypto
1393318,Crypto,crypto,Predict.fun FDV above $200M one day after launch?,-0.024162087535344386,0.005859057447313694,1,Crypto
1393319,Crypto,crypto,Predict.fun FDV above $300M one day after launch?,-0.024125865008343773,0.00584095372190988,1,Crypto
1484987,Geopolitics,geopolitics,Netanyahu out by June 30?,-0.023999753479885335,0.005746067671410142,3,Geopolitics
1540766,Geopolitics,geopolitics,Strait of Hormuz traffic returns to normal by end of April?,-0.02402169960939178,0.0057765079674976455,3,Geopolitics
1707932,Geopolitics,geopolitics,Will the Iranian regime fall by May 31?,-0.023993971230929792,0.005744021595788404,3,Geopolitics
1708109,Geopolitics,geopolitics,Kharg Island no longer under Iranian control by May 31?,-0.02401821250204319,0.005747717042101984,3,Geopolitics
